seed_term,seed_batch,kind,query,value,formatted_value
custom wardrobe,4,top,custom wardrobe closets,26,26
custom wardrobe,4,top,custom made wardrobe,23,23
custom wardrobe,4,top,custom wardrobe cabinets,22,22
custom coffee table,4,top,custom coffee table book,100,100
custom coffee table,4,top,custom coffee tables,46,46
custom cabinets,5,top,custom cabinets near me,100,100
custom cabinets,5,top,custom cabinets cost,55,55
custom cabinets,5,top,ikea custom cabinets,44,44
custom cabinets,5,top,custom cabinetry,34,34
custom cabinets,5,top,custom cabinets design,32,32
custom cabinets,5,top,semi custom cabinets,30,30
custom cabinets,5,top,home depot custom cabinets,29,29
custom cabinets,5,top,lowes custom cabinets,20,20
custom cabinets,5,top,custom cabinets online,20,20
custom cabinets,5,top,how much do custom cabinets cost,6,6
custom cabinets,5,top,how much are custom cabinets,6,6
custom cabinets,5,top,custom cabinets los angeles,5,5
custom cabinets,5,top,custom cabinets for kitchen near me,5,5
custom cabinets,5,top,discount custom cabinets,4,4
custom cabinets,5,top,semi custom cabinets near me,2,2
custom cabinets,5,top,modern edge custom cabinets,1,1
custom cabinets,5,rising,modern edge custom cabinets,650,+650%
custom cabinets,5,rising,custom cabinets for kitchen near me,120,+120%
custom cabinets,5,rising,semi custom cabinets near me,70,+70%
custom closet,5,top,custom closet doors,100,100
custom closet,5,top,custom closet systems,99,99
custom closet,5,top,custom closets,93,93
custom closet,5,top,ikea custom closet,75,75
custom closet,5,top,custom closet door,64,64
custom closet,5,top,custom closet system,57,57
custom closet,5,top,custom closet cost,55,55
custom closet,5,top,custom closet near me,46,46
custom closet,5,top,custom closet organizer,46,46
custom closet,5,top,custom closet ideas,43,43
custom closet,5,top,custom closet shelves,32,32
custom closet,5,top,custom closet cabinets,31,31
custom closet,5,top,diy custom closet,29,29
custom closet,5,top,custom closet installation,28,28
custom closet,5,top,build custom closet,28,28
custom closet,5,top,custom wardrobe,26,26
custom closet,5,top,custom closet company,24,24
custom closet,5,top,custom closet builder,8,8
custom closet,5,top,best custom closet systems,8,8
custom closet,5,top,how much is a custom closet,7,7
custom closet,5,top,custom closet companies near me,3,3
custom closet,5,top,ikea custom closet builder,3,3
custom closet,5,rising,ikea custom closet builder,450,+450%
custom closet,5,rising,custom closet installation,200,+200%
custom closet,5,rising,custom closet builder,120,+120%
custom closet,5,rising,custom closet company,80,+80%
custom closet,5,rising,best custom closet systems,60,+60%
custom closet,5,rising,custom closet near me,50,+50%
custom closet,5,rising,how much is a custom closet,50,+50%
custom dining table,5,top,custom dining tables,100,100
dining chair,5,top,dining table,100,100
dining chair,5,top,dining chairs,96,96
dining chair,5,top,dining chair set,86,86
dining chair,5,top,dining set,83,83
dining chair,5,top,black dining chair,49,49
dining chair,5,top,modern dining chair,46,46
dining chair,5,top,wood dining chair,45,45
dining chair,5,top,upholstered dining chair,39,39
dining chair,5,top,outdoor dining chair,38,38
dining chair,5,top,leather dining chair,36,36
dining chair,5,top,white dining chair,33,33
dining chair,5,top,dining table and chair,31,31
dining chair,5,top,dining table set,28,28
dining chair,5,top,dining chair covers,26,26
dining chair,5,top,chair covers,26,26
dining chair,5,top,2 chair dining set,20,20
dining chair,5,top,dining room chairs,20,20
dining chair,5,top,dining chair cushions,20,20
dining chair,5,top,4 chair dining set,20,20
dining chair,5,top,chair cushions,19,19
dining chair,5,top,dining chair cushion,17,17
dining chair,5,top,dining chair cover,15,15
dining chair,5,top,velvet dining chair,15,15
dining chair,5,top,west elm,15,15
dining chair,5,top,west elm dining chair,15,15
dining chair,5,rising,boucle dining chair,2750,"+2,750%"
dining chair,5,rising,dining table set for 6,350,+350%
dining chair,5,rising,2 chair dining set,350,+350%
dining chair,5,rising,dining chair set of 6,300,+300%
dining chair,5,rising,black wood dining chair,200,+200%
dining chair,5,rising,dining chair set of 4,200,+200%
dining chair,5,rising,4 chair dining set,190,+190%
dining chair,5,rising,6 chair dining set,180,+180%
dining chair,5,rising,black leather dining chair,180,+180%
dining chair,5,rising,green dining chair,160,+160%
dining chair,5,rising,dining chair cushions set of 4,160,+160%
dining chair,5,rising,toddler chair for dining table,150,+150%
dining chair,5,rising,pink dining chair,150,+150%
dining chair,5,rising,dining chairs set of 6,140,+140%
dining chair,5,rising,dining chairs set of 4,140,+140%
dining chair,5,rising,toddler dining chair,130,+130%
dining chair,5,rising,black dining chair,120,+120%
dining chair,5,rising,dining chair covers set of 6,120,+120%
dining chair,5,rising,swivel dining chair,110,+110%
dining chair,5,rising,dining chair set,100,+100%
dining chair,5,rising,modern dining chair,90,+90%
dining chair,5,rising,outdoor dining chair,80,+80%
dining chair,5,rising,dining set,70,+70%
dining chair,5,rising,west elm,70,+70%
dining chair,5,rising,west elm dining chair,70,+70%
custom dining chair,6,top,custom dining chairs,100,100
accent chair,6,top,accent swivel chair,100,100
accent chair,6,top,swivel chair,97,97
accent chair,6,top,accent chairs,88,88
accent chair,6,top,modern accent chair,86,86
accent chair,6,top,leather accent chair,77,77
accent chair,6,top,black accent chair,65,65
accent chair,6,top,upholstered accent chair,57,57
accent chair,6,top,white accent chair,55,55
accent chair,6,top,blue accent chair,50,50
accent chair,6,top,wood accent chair,47,47
accent chair,6,top,living room accent chair,47,47
accent chair,6,top,green accent chair,42,42
accent chair,6,top,barrel accent chair,42,42
accent chair,6,top,barrel chair,42,42
accent chair,6,top,velvet accent chair,38,38
accent chair,6,top,small accent chair,36,36
accent chair,6,top,gold accent chair,32,32
accent chair,6,top,brown accent chair,31,31
accent chair,6,top,arm chair,30,30
accent chair,6,top,lounge chair,25,25
accent chair,6,top,round accent chair,25,25
accent chair,6,top,accent chair for living room,24,24
accent chair,6,top,accent chair with ottoman,24,24
accent chair,6,top,oversized accent chair,23,23
accent chair,6,top,cream accent chair,23,23
accent chair,6,rising,madison park qwen button tufted accent chair,13500,Breakout
accent chair,6,rising,better homes & gardens waylen accent chair,12050,Breakout
accent chair,6,rising,pillowsac accent chair,11700,Breakout
accent chair,6,rising,lovesac pillowsac accent chair,11650,Breakout
accent chair,6,rising,boucle accent chair,2700,"+2,700%"
accent chair,6,rising,swivel accent chair set of 2,1150,"+1,150%"
accent chair,6,rising,lovesac accent chair,750,+750%
accent chair,6,rising,swivel barrel accent chair,500,+500%
accent chair,6,rising,oversized swivel accent chair,500,+500%
accent chair,6,rising,upholstered accent chair,400,+400%
accent chair,6,rising,swivel chair,300,+300%
accent chair,6,rising,accent swivel chair,250,+250%
accent chair,6,rising,oversized accent chair,250,+250%
accent chair,6,rising,oversized chair,250,+250%
accent chair,6,rising,accent chair set of 2,250,+250%
accent chair,6,rising,cozy accent chair,250,+250%
accent chair,6,rising,mcm accent chair,250,+250%
accent chair,6,rising,vintage accent chair,250,+250%
accent chair,6,rising,olive green accent chair,250,+250%
accent chair,6,rising,large accent chair,200,+200%
accent chair,6,rising,reading chair,200,+200%
accent chair,6,rising,barrel accent chair,190,+190%
accent chair,6,rising,accent chair for living room,180,+180%
accent chair,6,rising,barrel chair,180,+180%
accent chair,6,rising,black leather accent chair,170,+170%
bench,6,top,bench press,100,100
bench,6,top,the bench,63,63
bench,6,top,storage bench,37,37
bench,6,top,bench seat,32,32
bench,6,top,weight bench,30,30
bench,6,top,work bench,27,27
bench,6,top,outdoor bench,22,22
bench,6,top,incline bench,19,19
bench,6,top,wood bench,18,18
bench,6,top,bench with storage,16,16
bench,6,top,dining bench,16,16
bench,6,top,workout bench,14,14
bench,6,top,shower bench,13,13
bench,6,top,bench calculator,13,13
bench,6,top,bed bench,13,13
bench,6,top,shoe bench,11,11
bench,6,top,bench cushion,11,11
bench,6,top,entryway bench,11,11
bench,6,top,how to bench press,10,10
bench,6,top,incline bench press,9,9
bench,6,top,park bench,9,9
bench,6,top,bench grinder,9,9
bench,6,top,adjustable bench,9,9
bench,6,top,dumbbell bench press,8,8
bench,6,top,gym bench,8,8
bench,6,rising,bench craft company lawsuit,1800,"+1,800%"
bench,6,rising,nordic bench,400,+400%
bench,6,rising,mrs bench,250,+250%
bench,6,rising,1 rep max calculator bench,200,+200%
bench,6,rising,one rep max calculator bench,200,+200%
bench,6,rising,incline bench angle,200,+200%
bench,6,rising,average bench press by age,180,+180%
bench,6,rising,polywood bench,150,+150%
bench,6,rising,max bench calculator,120,+120%
bench,6,rising,incline bench press muscles worked,120,+120%
bench,6,rising,entryway bench with storage,110,+110%
bench,6,rising,storage bench for bedroom,100,+100%
bench,6,rising,bench with shoe storage,100,+100%
bench,6,rising,bench calculator,100,+100%
bench,6,rising,dumbell bench press,80,+80%
bench,6,rising,what does bench press work,80,+80%
bench,6,rising,hall tree with bench,70,+70%
bench,6,rising,what is a bench trial,60,+60%
bench,6,rising,storage bench with cushion,60,+60%
bench,6,rising,bench press machine,60,+60%
bench,6,rising,bench trial,60,+60%
bench,6,rising,bench press muscles worked,60,+60%
bench,6,rising,how much does a bench press bar weigh,60,+60%
bench,6,rising,bench scraper,50,+50%
bench,6,rising,incline bench,50,+50%
custom bench,7,top,custom bench seat,100,100
custom bench,7,top,custom bench cushion,82,82
custom bench,7,top,custom cushions,66,66
custom bench,7,top,bench cushions,64,64
custom bench,7,top,custom bench seats,19,19
console table,7,top,wood console table,100,100
console table,7,top,console table black,82,82
console table,7,top,tv console table,73,73
console table,7,top,tv console,73,73
console table,7,top,modern console table,61,61
console table,7,top,white console table,60,60
console table,7,top,console table with storage,56,56
console table,7,top,narrow console table,55,55
console table,7,top,sofa table,54,54
console table,7,top,sofa console table,53,53
console table,7,top,entryway table,49,49
console table,7,top,console table entryway,47,47
console table,7,top,coffee table,43,43
console table,7,top,long console table,42,42
console table,7,top,small console table,39,39
console table,7,top,gold console table,33,33
console table,7,top,console table with drawers,31,31
console table,7,top,ikea,31,31
console table,7,top,glass console table,30,30
console table,7,top,side table,30,30
console table,7,top,ikea console table,29,29
console table,7,top,media console table,29,29
console table,7,top,metal console table,27,27
console table,7,top,couch console table,27,27
console table,7,top,outdoor console table,26,26
console table,7,rising,console table for entryway,400,+400%
console table,7,rising,green console table,350,+350%
console table,7,rising,entryway table with storage,350,+350%
console table,7,rising,solid wood console table,300,+300%
console table,7,rising,burlwood console table,300,+300%
console table,7,rising,burl wood console table,250,+250%
console table,7,rising,natural wood console table,250,+250%
console table,7,rising,curved console table,250,+250%
console table,7,rising,rattan console table,200,+200%
console table,7,rising,low console table,190,+190%
console table,7,rising,white oak console table,180,+180%
console table,7,rising,slim console table,180,+180%
console table,7,rising,vintage console table,170,+170%
console table,7,rising,narrow console table with storage,160,+160%
console table,7,rising,walnut console table,140,+140%
console table,7,rising,arhaus console table,120,+120%
console table,7,rising,entryway table,120,+120%
console table,7,rising,console table with shelves,120,+120%
console table,7,rising,studio mcgee console table,120,+120%
console table,7,rising,console table black,120,+120%
console table,7,rising,wooden console table,120,+120%
console table,7,rising,waterfall console table,110,+110%
console table,7,rising,console table with storage,110,+110%
console table,7,rising,blue console table,110,+110%
console table,7,rising,console table entryway,110,+110%
custom furniture,7,top,custom furniture near me,100,100
custom furniture,7,top,custom furniture design,69,69
custom furniture,7,top,custom furniture covers,41,41
custom furniture,7,top,custom furniture online,31,31
custom furniture,7,top,custom furniture maker,25,25
custom furniture,7,top,custom furniture makers,19,19
custom furniture,7,top,hf custom furniture,3,3
custom furniture,7,top,custom furniture builder near me,3,3
custom furniture,7,rising,hf custom furniture,23750,Breakout
custom furniture,7,rising,custom furniture builder near me,70,+70%
custom furniture,7,rising,custom furniture online,50,+50%
modular furniture,8,top,modular furniture sectional,100,100
modular furniture,8,top,sectional,98,98
modular furniture,8,top,modular sectional,91,91
modular furniture,8,top,modular sofa,74,74
modular furniture,8,top,modular furniture sofa,74,74
modular furniture,8,top,modular couch,44,44
modular furniture,8,top,sectional sofa,44,44
modular furniture,8,top,modular sofa sectional,43,43
modular furniture,8,top,couch,43,43
modular furniture,8,top,ashley furniture,32,32
modular furniture,8,top,modular sectional couch,24,24
modular furniture,8,top,sectional couch,22,22
modular furniture,8,top,outdoor modular furniture,22,22
modular furniture,8,top,outdoor furniture,22,22
modular furniture,8,top,modular outdoor furniture,22,22
modular furniture,8,top,ashley furniture modular sectional,18,18
modular furniture,8,top,ashley furniture sectional,18,18
modular furniture,8,top,office furniture,15,15
modular furniture,8,top,office modular furniture,15,15
modular furniture,8,top,modular patio furniture,13,13
modular furniture,8,top,couches,12,12
modular furniture,8,top,city furniture,11,11
modular furniture,8,top,modular couches,10,10
modular furniture,8,top,modular furniture system,10,10
modular furniture,8,top,bob's discount furniture,9,9
modular furniture,8,rising,city furniture grant modular sectional,52550,Breakout
modular furniture,8,rising,thomasville lowell 6-piece modular sectional,15950,Breakout
modular furniture,8,rising,best choice products 7-piece modular outdoor wicker patio conversation furniture set sectional sofa,1150,"+1,150%"
modular furniture,8,rising,bob's discount furniture,400,+400%
modular furniture,8,rising,cloud couch,350,+350%
modular furniture,8,rising,us modular furniture,200,+200%
modular furniture,8,rising,modular sectional couch,170,+170%
modular furniture,8,rising,modular couch,160,+160%
modular furniture,8,rising,couch,160,+160%
modular furniture,8,rising,ashley furniture,160,+160%
modular furniture,8,rising,sectional sofa,150,+150%
modular furniture,8,rising,modular sofa sectional,150,+150%
modular furniture,8,rising,sectional couch,150,+150%
modular furniture,8,rising,city furniture,130,+130%
modular furniture,8,rising,ashley furniture modular sectional,130,+130%
modular furniture,8,rising,couches,120,+120%
modular furniture,8,rising,ashley furniture sectional,120,+120%
modular furniture,8,rising,modular couches,100,+100%
modular furniture,8,rising,leather modular sectional,100,+100%
modular furniture,8,rising,modular furniture sectional,100,+100%
modular furniture,8,rising,modular sofa,90,+90%
modular furniture,8,rising,modular furniture sofa,90,+90%
modular furniture,8,rising,sectional,90,+90%
modular furniture,8,rising,modular sectional,70,+70%
modular furniture,8,rising,outdoor modular furniture,60,+60%
built in furniture,8,top,peerless built in furniture,100,100
built in furniture,8,top,peerless built in furniture bathroom,58,58
built in furniture,8,rising,peerless built in furniture,58400,Breakout
built in furniture,8,rising,peerless built in furniture bathroom,33850,Breakout
